%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
!START OF THE EXPERIMENT!
DATASET DIR PATH: /home/nkanak/Desktop/phd/experiments/GraphOfDocs/GraphOfDocs/data/20news-18828-all/
MIN NUMBER OF DOCUMENTS PER SELECTED COMMUNITY: 2
VARIANCE THRESHOLD: [0.0005, 0.001, 0.0015, 0.002, 0.003, 0.004, 0.005, 0.01]
SELECT KBEST K: [1000, 2000, 3000, 5000, 10000, 15000, 20000, 25000, 30000]
TOP N SELECTED COMMUNITY TERMS: [5, 10, 15, 20, 25, 50, 100, 250, 500]
Number of selected documents: 11610 
EXAMPLE OF THE PANDAS DATAFRAME
                 identifier  ...                                               text
11876      rec.autos_102735  ...  rdb1 cbnewsj att ronald deblock changing oil s...
17000  comp.windows.x_68077  ...  boutilie rtsg mot eric boutilier looking windo...

[2 rows x 4 columns]
Number of unique classes: 20
EXAMPLE OF THE EVALUATION RESULTS PANDAS DATAFRAME
   Method  Accuracy  Number of features  ...  variance thershold  kbest top_n
0  BOW+NB    0.9361               62384  ...                 NaN    NaN   NaN
1  BOW+LR    0.9387               62384  ...                 NaN    NaN   NaN

[2 rows x 9 columns]
+--------------------------+----------+--------------------+------------+-----------+--------------------------------+
|          Method          | Accuracy | Number of features | Train size | Test size |            Details             |
|        LVAR+1KNN         |  0.7474  |        4880        |    7778    |    3832   |  {'variance thershold': 0.01}  |
|         LVAR+2NN         |  0.7469  |       10469        |    7778    |    3832   | {'variance thershold': 0.003}  |
|        LVAR+1KNN         |  0.7466  |       29992        |    7778    |    3832   | {'variance thershold': 0.0005} |
|        KBEST+1KNN        |  0.7466  |       15000        |    7778    |    3832   |        {'kbest': 15000}        |
|         LVAR+2NN         |  0.7461  |       20410        |    7778    |    3832   | {'variance thershold': 0.001}  |
|        LVAR+1KNN         |  0.7461  |        7651        |    7778    |    3832   | {'variance thershold': 0.005}  |
|        KBEST+1KNN        |  0.7458  |       30000        |    7778    |    3832   |        {'kbest': 30000}        |
|        LVAR+1KNN         |  0.7456  |       15779        |    7778    |    3832   | {'variance thershold': 0.0015} |
|        LVAR+1KNN         |  0.7456  |       13521        |    7778    |    3832   | {'variance thershold': 0.002}  |
|         LVAR+2NN         |  0.7445  |       15779        |    7778    |    3832   | {'variance thershold': 0.0015} |
|         LVAR+2NN         |  0.7445  |        7651        |    7778    |    3832   | {'variance thershold': 0.005}  |
|        LVAR+1KNN         |  0.744   |       20410        |    7778    |    3832   | {'variance thershold': 0.001}  |
|         LVAR+2NN         |  0.7435  |       13521        |    7778    |    3832   | {'variance thershold': 0.002}  |
|         LVAR+2NN         |  0.7427  |        8787        |    7778    |    3832   | {'variance thershold': 0.004}  |
|        KBEST+2NN         |  0.7401  |        1000        |    7778    |    3832   |        {'kbest': 1000}         |
|        KBEST+1KNN        |  0.738   |        1000        |    7778    |    3832   |        {'kbest': 1000}         |
|        TOPN+1KNN         |  0.7231  |        982         |    7778    |    3832   |          {'top_n': 5}          |
|        KBEST+5NN         |  0.721   |        5000        |    7778    |    3832   |        {'kbest': 5000}         |
|         TOPN+5NN         |  0.7192  |       20942        |    7778    |    3832   |         {'top_n': 50}          |
|         TOPN+2NN         |  0.7174  |        982         |    7778    |    3832   |          {'top_n': 5}          |
|         TOPN+5NN         |  0.7171  |       10149        |    7778    |    3832   |         {'top_n': 25}          |
|         TOPN+5NN         |  0.7169  |        2926        |    7778    |    3832   |         {'top_n': 10}          |
